epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.14,3.22107,8.53755,4.04546,0.00366,0.16166,0.00499,0.00139,2.98585,6.82076,3.53355,0.0700071,0.00333254,0.00333254
2,911.151,2.05078,3.77512,2.58583,0.22248,0.06611,0.03643,0.01601,2.6639,6.52003,3.28462,0.0400055,0.00666425,0.00666425
3,1346.14,1.55001,2.75399,1.99324,0.45424,0.48194,0.45897,0.31312,1.1539,1.85326,1.73992,0.00999735,0.00998944,0.00998944
4,1780.11,1.35909,2.24997,1.7562,0.54485,0.60794,0.6283,0.45525,1.04487,1.49714,1.56517,0.00997803,0.00997803,0.00997803
5,2212.99,1.23096,1.90111,1.60252,0.68113,0.6879,0.76123,0.57753,0.91433,1.19534,1.41203,0.00996097,0.00996097,0.00996097
6,2647.76,1.15705,1.67718,1.51385,0.75167,0.77375,0.8193,0.63056,0.85086,1.0541,1.35234,0.00993906,0.00993906,0.00993906
7,3083.39,1.11547,1.54923,1.46569,0.84789,0.83028,0.89948,0.70976,0.81291,0.88204,1.28387,0.00991232,0.00991232,0.00991232
8,3516.67,1.07761,1.43318,1.42556,0.87641,0.82917,0.92081,0.74026,0.79073,0.8317,1.26388,0.00988079,0.00988079,0.00988079
9,3949.73,1.04138,1.34507,1.38938,0.91894,0.88106,0.94799,0.77335,0.75227,0.73356,1.22246,0.00984449,0.00984449,0.00984449
10,4382.51,1.02073,1.25294,1.36473,0.91256,0.87237,0.94889,0.77987,0.72455,0.68798,1.18968,0.00980345,0.00980345,0.00980345
11,4818.16,0.99475,1.19051,1.33804,0.94643,0.91255,0.96997,0.80476,0.71458,0.60998,1.17753,0.00975773,0.00975773,0.00975773
12,5252.04,0.97976,1.15523,1.32435,0.93438,0.91596,0.9667,0.81264,0.69703,0.58184,1.15114,0.00970736,0.00970736,0.00970736
13,5684.51,0.96167,1.10288,1.30792,0.934,0.93936,0.97526,0.82114,0.6887,0.56285,1.14629,0.00965239,0.00965239,0.00965239
14,6117.8,0.94851,1.07281,1.29342,0.949,0.95437,0.97986,0.83347,0.66812,0.52654,1.12812,0.00959289,0.00959289,0.00959289
15,6551.02,0.93928,1.0439,1.2821,0.96248,0.95113,0.98178,0.83831,0.6654,0.50499,1.11734,0.00952889,0.00952889,0.00952889
16,6988.82,0.92992,1.01248,1.27688,0.9558,0.96779,0.98345,0.84211,0.65206,0.48955,1.10862,0.00946048,0.00946048,0.00946048
17,7423.13,0.90823,0.96815,1.25198,0.9629,0.96801,0.98484,0.8459,0.64312,0.46748,1.09265,0.00938772,0.00938772,0.00938772
18,7855.84,0.90724,0.95971,1.25556,0.97546,0.96132,0.98529,0.84766,0.63428,0.45845,1.08638,0.00931067,0.00931067,0.00931067
19,8289.3,0.89161,0.92832,1.23473,0.97648,0.97231,0.98793,0.85597,0.62282,0.4445,1.07688,0.00922942,0.00922942,0.00922942
20,8724.28,0.88909,0.91181,1.23341,0.96591,0.97718,0.98708,0.85764,0.62362,0.43576,1.07704,0.00914405,0.00914405,0.00914405
