epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.486,0.71795,0.60827,1.06893,0.92743,0.94039,0.96842,0.80486,0.71286,0.51765,1.08934,0.0683433,0.00166614,0.00166614
2,1479.58,0.7114,0.59703,1.06165,0.8673,0.82728,0.89405,0.68637,0.94405,0.86761,1.30528,0.0366754,0.00333153,0.00333153
3,2198.15,0.70251,0.5864,1.05829,0.94209,0.95223,0.9759,0.81982,0.6849,0.47322,1.06547,0.00500238,0.00499184,0.00499184
4,2916.38,0.70174,0.58436,1.05965,0.87504,0.7882,0.85235,0.64769,1.00013,1.10962,1.3348,0.00498284,0.00498284,0.00498284
5,3626.85,0.69915,0.5797,1.05343,0.93727,0.92663,0.97086,0.80711,0.71408,0.51375,1.10194,0.00496953,0.00496953,0.00496953
6,4337.04,0.6981,0.57969,1.05603,0.93765,0.92875,0.9681,0.7995,0.72431,0.54523,1.09256,0.00495244,0.00495244,0.00495244
7,5047.75,0.69782,0.57818,1.05574,0.96663,0.96275,0.98486,0.84818,0.64816,0.42517,1.03562,0.00493162,0.00493162,0.00493162
8,5757.66,0.69428,0.57508,1.0534,0.95764,0.96045,0.98131,0.84114,0.64995,0.43002,1.03976,0.00490708,0.00490708,0.00490708
9,6474.61,0.69581,0.57376,1.05236,0.96406,0.96107,0.9845,0.85049,0.63482,0.41138,1.02679,0.00487886,0.00487886,0.00487886
10,7185.51,0.68769,0.56538,1.04919,0.95526,0.96871,0.98392,0.85056,0.63189,0.41336,1.02738,0.00484702,0.00484702,0.00484702
11,7895.34,0.68909,0.56688,1.0499,0.95802,0.96275,0.98288,0.84869,0.63679,0.41471,1.029,0.0048116,0.0048116,0.0048116
12,8604.39,0.68616,0.56442,1.05005,0.96293,0.96412,0.98344,0.85322,0.62844,0.40471,1.02289,0.00477265,0.00477265,0.00477265
