epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.917,0.88735,1.8145,1.11903,0.87972,0.86882,0.94325,0.77075,0.73505,0.62367,0.96086,0.070019,0.00333123,0.00333123
2,597.729,0.89798,0.97618,1.10913,0.8448,0.81906,0.87761,0.68462,0.86444,0.99047,1.03862,0.039953,0.00659858,0.00659858
3,876.473,0.98792,1.06444,1.16283,0.75313,0.68676,0.76439,0.57304,1.02717,1.39649,1.17899,0.00982101,0.00979993,0.00979993
4,1151.59,0.99373,1.0474,1.17968,0.89213,0.90787,0.93921,0.74999,0.78377,0.62195,1.01333,0.009703,0.009703,0.009703
5,1427.4,0.90266,0.86066,1.12869,0.94933,0.96227,0.98189,0.82163,0.6997,0.47841,0.95312,0.009604,0.009604,0.009604
6,1701.05,0.85185,0.77128,1.10287,0.96597,0.96348,0.98286,0.84851,0.63924,0.42318,0.93037,0.009505,0.009505,0.009505
7,1976.44,0.80677,0.70815,1.0802,0.9815,0.96983,0.98893,0.8654,0.61589,0.39097,0.9183,0.009406,0.009406,0.009406
8,2254.25,0.78547,0.66626,1.07192,0.98018,0.98474,0.98963,0.86874,0.6023,0.37481,0.9075,0.009307,0.009307,0.009307
9,2531.06,0.76602,0.63571,1.06078,0.97743,0.98919,0.99123,0.87995,0.58083,0.3518,0.90077,0.009208,0.009208,0.009208
10,2804.59,0.74002,0.59943,1.04729,0.99109,0.98889,0.99112,0.88482,0.56076,0.33084,0.88701,0.009109,0.009109,0.009109
11,3079.71,0.73022,0.57908,1.04101,0.98801,0.99208,0.99141,0.88641,0.55081,0.31972,0.88457,0.00901,0.00901,0.00901
12,3358,0.71972,0.56605,1.03752,0.99042,0.99035,0.99151,0.89631,0.54023,0.30534,0.87625,0.008911,0.008911,0.008911
13,3631.55,0.70843,0.54898,1.03059,0.99119,0.99112,0.99195,0.90135,0.5283,0.29976,0.87535,0.008812,0.008812,0.008812
14,3913.91,0.69266,0.53314,1.02426,0.99491,0.99088,0.99197,0.90541,0.51096,0.2874,0.86705,0.008713,0.008713,0.008713
15,4192.2,0.68935,0.52543,1.02198,0.99281,0.99262,0.99231,0.90636,0.51262,0.28089,0.86628,0.008614,0.008614,0.008614
16,4469.09,0.67721,0.50835,1.01397,0.99496,0.99099,0.99262,0.90944,0.50404,0.27474,0.86167,0.008515,0.008515,0.008515
17,4747.52,0.67542,0.50108,1.01111,0.99323,0.99286,0.9928,0.91334,0.49001,0.26703,0.85566,0.008416,0.008416,0.008416
18,5023.78,0.66462,0.49614,1.00845,0.99429,0.99114,0.99228,0.91406,0.4898,0.26037,0.85678,0.008317,0.008317,0.008317
19,5296.3,0.6572,0.4849,1.00556,0.9949,0.99344,0.99298,0.91659,0.48541,0.25259,0.85092,0.008218,0.008218,0.008218
20,5567.88,0.6563,0.48082,1.00567,0.99555,0.99233,0.99294,0.91716,0.47875,0.25026,0.85229,0.008119,0.008119,0.008119
21,5841.9,0.64852,0.47052,1.00185,0.99527,0.99295,0.99315,0.92046,0.47382,0.24243,0.84714,0.00802,0.00802,0.00802
22,6113.95,0.64358,0.46109,0.99942,0.996,0.99335,0.99292,0.92123,0.46982,0.24075,0.847,0.007921,0.007921,0.007921
23,6384.82,0.6416,0.45924,0.99677,0.99652,0.99369,0.99323,0.92253,0.46348,0.23684,0.84557,0.007822,0.007822,0.007822
24,6656.91,0.63235,0.45209,0.99721,0.99666,0.99383,0.99325,0.92485,0.46134,0.23564,0.84301,0.007723,0.007723,0.007723
25,6928.98,0.62958,0.44602,0.99087,0.9964,0.99393,0.9934,0.9261,0.46069,0.23337,0.84306,0.007624,0.007624,0.007624
26,7199.52,0.62599,0.43904,0.98746,0.99652,0.99412,0.99356,0.92617,0.45985,0.23094,0.83982,0.007525,0.007525,0.007525
27,7469.55,0.62386,0.43967,0.98671,0.99566,0.99387,0.99349,0.92722,0.45521,0.22913,0.83904,0.007426,0.007426,0.007426
28,7739.45,0.62191,0.43214,0.9868,0.99626,0.99393,0.99361,0.92783,0.44971,0.22622,0.83625,0.007327,0.007327,0.007327
29,8009.7,0.61698,0.43156,0.98129,0.99602,0.99389,0.99363,0.92882,0.44832,0.22281,0.83479,0.007228,0.007228,0.007228
30,8279.18,0.61412,0.42632,0.98131,0.99605,0.99398,0.99352,0.92893,0.44708,0.22059,0.83346,0.007129,0.007129,0.007129
31,8549.55,0.61061,0.41737,0.97937,0.99594,0.99414,0.99338,0.93026,0.44556,0.21985,0.83337,0.00703,0.00703,0.00703
32,8819.14,0.60522,0.41418,0.98105,0.99566,0.9948,0.99335,0.93028,0.44384,0.21802,0.83402,0.006931,0.006931,0.006931
33,9089.72,0.60321,0.41003,0.97677,0.99599,0.99415,0.99339,0.93032,0.4434,0.21679,0.83347,0.006832,0.006832,0.006832
34,9360.46,0.59662,0.40731,0.9739,0.99626,0.99452,0.99341,0.93112,0.44202,0.21506,0.8327,0.006733,0.006733,0.006733
35,9631.35,0.59523,0.40577,0.97307,0.99661,0.99399,0.99342,0.93164,0.44095,0.21344,0.83203,0.006634,0.006634,0.006634
36,9901.77,0.59421,0.40288,0.97487,0.99662,0.99423,0.99347,0.93223,0.4401,0.21254,0.83169,0.006535,0.006535,0.006535
37,10172.1,0.58983,0.39875,0.97402,0.99678,0.99431,0.99355,0.93211,0.43905,0.21161,0.83169,0.006436,0.006436,0.006436
38,10446.3,0.58796,0.39589,0.9704,0.99677,0.99439,0.99365,0.93298,0.43803,0.21036,0.83108,0.006337,0.006337,0.006337
39,10725,0.58632,0.3964,0.97078,0.99669,0.99434,0.99371,0.93311,0.43724,0.20986,0.83076,0.006238,0.006238,0.006238
40,11000.5,0.58325,0.3902,0.96826,0.99667,0.99436,0.99376,0.93357,0.43629,0.2086,0.83029,0.006139,0.006139,0.006139
41,11276.7,0.57959,0.38907,0.96477,0.99657,0.99433,0.9938,0.93378,0.43515,0.20797,0.82975,0.00604,0.00604,0.00604
42,11553.8,0.57814,0.39228,0.9646,0.99643,0.9944,0.99383,0.93429,0.43391,0.20675,0.82928,0.005941,0.005941,0.005941
43,11826.7,0.57104,0.38327,0.96416,0.99647,0.99445,0.99384,0.93434,0.43299,0.20622,0.82881,0.005842,0.005842,0.005842
44,12100.7,0.57166,0.3804,0.95964,0.99636,0.99452,0.99386,0.9345,0.43208,0.20575,0.828,0.005743,0.005743,0.005743
45,12373.2,0.56499,0.37409,0.95739,0.99642,0.99459,0.99391,0.93464,0.43148,0.20515,0.82753,0.005644,0.005644,0.005644
46,12643.2,0.5628,0.37419,0.96009,0.99637,0.99429,0.99393,0.93459,0.43098,0.20453,0.82715,0.005545,0.005545,0.005545
47,12918,0.56404,0.37386,0.95914,0.99643,0.99429,0.99395,0.93486,0.43036,0.20405,0.82679,0.005446,0.005446,0.005446
48,13190.2,0.56219,0.36691,0.96065,0.99655,0.99431,0.99397,0.93474,0.42977,0.20365,0.82658,0.005347,0.005347,0.005347
49,13460.4,0.55381,0.36136,0.95276,0.99651,0.99442,0.99396,0.93505,0.42939,0.2031,0.82617,0.005248,0.005248,0.005248
50,13730.7,0.55354,0.36257,0.95242,0.99658,0.99446,0.99395,0.93505,0.42895,0.20276,0.82595,0.005149,0.005149,0.005149
51,14001.2,0.5456,0.35852,0.94938,0.99654,0.9944,0.99397,0.93542,0.42841,0.20202,0.82547,0.00505,0.00505,0.00505
52,14274.6,0.55193,0.36019,0.95294,0.99671,0.99422,0.99396,0.93548,0.4279,0.20155,0.82515,0.004951,0.004951,0.004951
53,14546.6,0.54492,0.3544,0.95119,0.99672,0.99429,0.99397,0.93565,0.4274,0.20129,0.82487,0.004852,0.004852,0.004852
54,14821.5,0.54033,0.34959,0.94752,0.99671,0.99435,0.99395,0.93585,0.42689,0.20087,0.82463,0.004753,0.004753,0.004753
