epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.388,2.85932,5.78001,3.77976,0.32385,0.25016,0.25275,0.13082,1.89967,7.69111,2.81065,0.070019,0.00333123,0.00333123
2,729.365,1.49556,2.82595,2.20765,0.53187,0.52739,0.5287,0.35119,1.18641,2.1407,1.85209,0.039953,0.00659858,0.00659858
3,1078.67,1.21931,2.08829,1.80076,0.5074,0.50694,0.56804,0.37437,1.29913,1.96836,1.82758,0.00982101,0.00979993,0.00979993
4,1425.61,1.11387,1.66658,1.65853,0.81049,0.80581,0.88275,0.67447,0.86421,0.92161,1.41453,0.009703,0.009703,0.009703
5,1771.8,0.99484,1.2981,1.51179,0.85898,0.84419,0.91449,0.70872,0.84492,0.7985,1.37821,0.009604,0.009604,0.009604
6,2117.34,0.92856,1.07731,1.43621,0.9286,0.93628,0.96837,0.79327,0.73811,0.61367,1.25214,0.009505,0.009505,0.009505
7,2461.75,0.87597,0.95413,1.38761,0.95946,0.95786,0.97922,0.82452,0.68969,0.50219,1.19387,0.009406,0.009406,0.009406
8,2806.79,0.85028,0.8811,1.35046,0.97128,0.9589,0.98459,0.83653,0.66515,0.45431,1.16353,0.009307,0.009307,0.009307
9,3154.02,0.82197,0.81617,1.32382,0.94435,0.91451,0.96333,0.80298,0.70997,0.57791,1.19975,0.009208,0.009208,0.009208
10,3500.87,0.80939,0.78441,1.31155,0.98057,0.98048,0.99045,0.85995,0.61387,0.38644,1.11241,0.009109,0.009109,0.009109
11,3846.16,0.79137,0.73952,1.29322,0.98514,0.98619,0.99119,0.86812,0.60666,0.36974,1.10255,0.00901,0.00901,0.00901
12,4192.08,0.77985,0.71013,1.28275,0.98933,0.98427,0.99128,0.87128,0.58922,0.35587,1.08125,0.008911,0.008911,0.008911
13,4539.04,0.76784,0.68776,1.26787,0.98124,0.98851,0.99177,0.87578,0.58202,0.34545,1.06909,0.008812,0.008812,0.008812
14,4890.6,0.74945,0.66059,1.25079,0.98856,0.98521,0.99159,0.88358,0.565,0.33248,1.05654,0.008713,0.008713,0.008713
15,5239.8,0.74254,0.6482,1.24501,0.98818,0.9888,0.99203,0.88666,0.55993,0.3211,1.04967,0.008614,0.008614,0.008614
16,5586.68,0.73911,0.63194,1.24223,0.9908,0.9891,0.99208,0.89138,0.54762,0.3109,1.04025,0.008515,0.008515,0.008515
17,5932.14,0.73185,0.61694,1.23585,0.99004,0.99077,0.99203,0.89092,0.54663,0.30233,1.03508,0.008416,0.008416,0.008416
18,6278.71,0.72138,0.59637,1.22752,0.98961,0.99137,0.99257,0.89621,0.54128,0.29516,1.02702,0.008317,0.008317,0.008317
19,6625.28,0.71673,0.58895,1.21949,0.99086,0.9896,0.99245,0.89915,0.53429,0.28853,1.02003,0.008218,0.008218,0.008218
20,6971.88,0.70957,0.57105,1.2103,0.99051,0.99206,0.99248,0.90216,0.5248,0.2847,1.01243,0.008119,0.008119,0.008119
21,7318.65,0.69789,0.56083,1.20209,0.99119,0.99048,0.99272,0.90263,0.5218,0.27706,1.00676,0.00802,0.00802,0.00802
22,7664.62,0.69976,0.55303,1.201,0.9908,0.99216,0.99236,0.906,0.51466,0.27173,1.00123,0.007921,0.007921,0.007921
23,8010.42,0.69239,0.54503,1.19354,0.99373,0.99153,0.99286,0.90632,0.51446,0.26595,0.99813,0.007822,0.007822,0.007822
24,8355.99,0.68686,0.53987,1.1913,0.99171,0.99299,0.99304,0.90629,0.51201,0.26425,0.99646,0.007723,0.007723,0.007723
25,8701.43,0.67992,0.52966,1.18376,0.99146,0.9929,0.99315,0.90997,0.51085,0.26043,0.99209,0.007624,0.007624,0.007624
26,9047.94,0.67854,0.52651,1.18027,0.99153,0.99301,0.99324,0.91123,0.50412,0.25627,0.98896,0.007525,0.007525,0.007525
27,9394.12,0.6709,0.51456,1.17568,0.99236,0.99373,0.99308,0.912,0.50314,0.25348,0.98614,0.007426,0.007426,0.007426
28,9740.38,0.66983,0.50655,1.16819,0.99197,0.99316,0.9931,0.91167,0.50142,0.25223,0.98251,0.007327,0.007327,0.007327
29,10086.5,0.66981,0.50326,1.1717,0.99241,0.99343,0.99304,0.91259,0.49921,0.24945,0.98171,0.007228,0.007228,0.007228
30,10432.9,0.66915,0.50386,1.16847,0.99281,0.99337,0.99317,0.9143,0.49688,0.24636,0.97974,0.007129,0.007129,0.007129
31,10778.7,0.66006,0.49308,1.16105,0.99148,0.99401,0.99327,0.91428,0.49557,0.24437,0.97775,0.00703,0.00703,0.00703
