epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1673.27,3.07493,8.99545,4.05251,0.34294,0.22507,0.14271,0.07143,1.96123,3.06572,2.84092,0.0700071,0.00333254,0.00333254
2,3311.26,1.70615,3.27728,2.28902,0.52946,0.4803,0.49797,0.3427,1.23616,1.94414,1.83657,0.0400055,0.00666425,0.00666425
3,4940.84,1.33841,2.19236,1.78526,0.72781,0.62661,0.71032,0.52286,0.99096,1.40369,1.52454,0.00999735,0.00998944,0.00998944
4,6568.79,1.17021,1.74218,1.57939,0.74409,0.77418,0.84035,0.65182,0.87036,1.12164,1.36398,0.00997803,0.00997803,0.00997803
5,8195.98,1.06579,1.43144,1.46693,0.84855,0.83157,0.91452,0.72906,0.81214,0.83,1.29844,0.00996097,0.00996097,0.00996097
6,9823.06,0.98962,1.2302,1.38514,0.93018,0.90009,0.95478,0.77967,0.75948,0.66613,1.23684,0.00993906,0.00993906,0.00993906
7,11450.4,0.94879,1.12838,1.34961,0.92968,0.93842,0.97149,0.81168,0.70586,0.61178,1.18888,0.00991232,0.00991232,0.00991232
8,13077.3,0.91799,1.03369,1.32026,0.9709,0.93705,0.98145,0.83173,0.67742,0.53846,1.15945,0.00988079,0.00988079,0.00988079
9,14704.2,0.88669,0.97365,1.2913,0.95564,0.96411,0.98081,0.84312,0.64905,0.49403,1.13607,0.00984449,0.00984449,0.00984449
10,16331.5,0.86003,0.9098,1.27098,0.95088,0.96622,0.98543,0.85244,0.63149,0.45587,1.11495,0.00980345,0.00980345,0.00980345
11,17958.9,0.83415,0.85913,1.24533,0.97276,0.97072,0.98723,0.85867,0.61461,0.42606,1.09671,0.00975773,0.00975773,0.00975773
12,19584.9,0.8239,0.83522,1.23785,0.98186,0.97296,0.98835,0.86489,0.60803,0.40755,1.08784,0.00970736,0.00970736,0.00970736
13,21211,0.81313,0.81157,1.22855,0.98222,0.97894,0.98996,0.8724,0.59119,0.39012,1.07168,0.00965239,0.00965239,0.00965239
14,22836.4,0.79381,0.77847,1.21335,0.98761,0.9862,0.99066,0.87413,0.58586,0.37166,1.06916,0.00959289,0.00959289,0.00959289
15,24462.4,0.79023,0.75573,1.21327,0.98566,0.98492,0.9909,0.87828,0.57593,0.36529,1.05848,0.00952889,0.00952889,0.00952889
16,26092.6,0.77849,0.73324,1.20165,0.98429,0.98691,0.98995,0.8813,0.56589,0.34989,1.04866,0.00946048,0.00946048,0.00946048
17,27720.9,0.76974,0.71242,1.19424,0.98658,0.98876,0.99114,0.88381,0.56432,0.341,1.04375,0.00938772,0.00938772,0.00938772
