epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1649.83,3.36018,12.2176,4.69646,0.00084,0.09461,0.00057,0.00013,3.40379,15.0236,4.77817,0.0670078,0.000333254,0.000333254
2,3270.65,3.33797,10.2047,4.41857,0.00078,0.08406,0.00057,0.00012,3.35862,9.70022,4.52807,0.0340077,0.000666423,0.000666423
3,4882.7,3.16593,8.4882,4.02471,0.33979,0.1706,0.10141,0.04111,2.39877,3.09273,3.52809,0.00100684,0.000998935,0.000998935
4,6490.74,2.06023,5.49937,2.94669,0.5002,0.49158,0.46389,0.3024,1.41373,2.16744,2.34351,0.000997783,0.000997783,0.000997783
5,8099.2,1.58515,4.23606,2.29879,0.64232,0.64248,0.65367,0.45452,1.14385,1.72627,1.94633,0.000996061,0.000996061,0.000996061
6,9708.25,1.38358,3.40533,2.00719,0.70958,0.75433,0.78998,0.58097,1.00808,1.56099,1.72924,0.00099385,0.00099385,0.00099385
7,11317.5,1.25241,2.80252,1.82462,0.77852,0.78476,0.82157,0.61571,0.92024,1.46932,1.58512,0.000991152,0.000991152,0.000991152
8,12926.3,1.16577,2.42636,1.71514,0.85549,0.82021,0.89112,0.69222,0.85651,1.10445,1.49777,0.00098797,0.00098797,0.00098797
9,14534.8,1.10782,2.16471,1.62985,0.8765,0.86193,0.92695,0.73836,0.80856,0.95248,1.41829,0.000984307,0.000984307,0.000984307
10,16143.4,1.05966,1.97456,1.57557,0.89791,0.89883,0.94979,0.76848,0.77914,0.84682,1.36985,0.000980167,0.000980167,0.000980167
11,17751.9,1.01746,1.77885,1.52134,0.92772,0.92952,0.97081,0.79827,0.74014,0.80894,1.3225,0.000975553,0.000975553,0.000975553
12,19360.9,0.99039,1.6,1.48616,0.9329,0.94409,0.9734,0.80572,0.73105,0.72401,1.29444,0.00097047,0.00097047,0.00097047
13,20969.8,0.96364,1.44789,1.45383,0.94921,0.9346,0.97444,0.81749,0.70387,0.71145,1.2671,0.000964923,0.000964923,0.000964923
