epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2338.52,0.96299,2.48077,1.21691,0.83036,0.82781,0.87536,0.68165,0.8704,0.91387,1.22004,0.070019,0.00333123,0.00333123
2,3088.05,0.89188,0.94845,1.15861,0.83691,0.8224,0.89446,0.67673,0.91676,0.77383,1.23445,0.0400173,0.00666293,0.00666293
3,4051.2,0.97015,1.04052,1.20667,0.82401,0.77143,0.86018,0.62397,0.99725,0.90012,1.31129,0.0100092,0.00998813,0.00998813
4,4785.5,0.98406,1.04388,1.21363,0.88999,0.89277,0.94418,0.74051,0.82908,0.65925,1.17514,0.00997803,0.00997803,0.00997803
5,5889.48,0.91134,0.87729,1.16854,0.91255,0.89603,0.95585,0.74621,0.83833,0.56669,1.1643,0.00996097,0.00996097,0.00996097
6,6620.76,0.85418,0.76528,1.12939,0.93396,0.91783,0.96838,0.78513,0.74514,0.50834,1.09819,0.00993906,0.00993906,0.00993906
7,7690.46,0.81845,0.71067,1.11373,0.94418,0.96106,0.9814,0.80781,0.7177,0.43915,1.07889,0.00991232,0.00991232,0.00991232
8,8418.34,0.79345,0.66684,1.09861,0.97011,0.95925,0.98697,0.83472,0.67909,0.40964,1.04156,0.00988079,0.00988079,0.00988079
9,9539.28,0.76825,0.6284,1.08252,0.95671,0.94871,0.97844,0.81686,0.69221,0.4183,1.05316,0.00984449,0.00984449,0.00984449
10,10268.4,0.75746,0.60994,1.0752,0.95675,0.95257,0.97986,0.81016,0.70162,0.42519,1.06668,0.00980345,0.00980345,0.00980345
11,11392.1,0.74026,0.59445,1.06537,0.97917,0.97597,0.98945,0.85574,0.62315,0.34927,1.00604,0.00975773,0.00975773,0.00975773
12,12122.7,0.72713,0.57044,1.06055,0.98123,0.97389,0.98982,0.86739,0.61357,0.33114,0.98784,0.00970736,0.00970736,0.00970736
13,13329.4,0.71622,0.55778,1.05403,0.98208,0.97903,0.98953,0.87105,0.59769,0.31733,0.97308,0.00965239,0.00965239,0.00965239
14,14060.4,0.71067,0.54465,1.0481,0.97902,0.98717,0.99022,0.87466,0.58726,0.3054,0.97088,0.00959289,0.00959289,0.00959289
15,15234,0.70197,0.53361,1.04397,0.98524,0.98365,0.9901,0.87812,0.5847,0.30096,0.96758,0.00952889,0.00952889,0.00952889
16,15968.3,0.69449,0.51747,1.04104,0.98204,0.98002,0.99093,0.88734,0.5656,0.28941,0.95385,0.00946048,0.00946048,0.00946048
17,17412.1,0.68665,0.51259,1.03564,0.97677,0.98581,0.99126,0.88862,0.5592,0.28141,0.94925,0.00938772,0.00938772,0.00938772
18,18142.5,0.68254,0.49826,1.03351,0.98416,0.98576,0.99142,0.89082,0.55652,0.27533,0.94524,0.00931067,0.00931067,0.00931067
19,18905.3,0.6761,0.49184,1.02964,0.98206,0.98734,0.99104,0.89229,0.54964,0.27147,0.9413,0.00922942,0.00922942,0.00922942
20,19742.6,0.67227,0.48945,1.02586,0.98824,0.98829,0.99191,0.89442,0.54561,0.26483,0.93451,0.00914405,0.00914405,0.00914405
21,20726.8,0.66387,0.478,1.02061,0.98678,0.98994,0.99187,0.89728,0.54023,0.2617,0.93083,0.00905463,0.00905463,0.00905463
22,21456.3,0.65983,0.47331,1.01581,0.98708,0.98819,0.99196,0.89729,0.53659,0.25793,0.9258,0.00896127,0.00896127,0.00896127
23,22198.2,0.65477,0.46804,1.01636,0.98628,0.98899,0.99198,0.89976,0.53138,0.25438,0.92506,0.00886404,0.00886404,0.00886404
24,23113.4,0.64888,0.46424,1.01312,0.98855,0.98935,0.99225,0.90357,0.52598,0.24928,0.92234,0.00876305,0.00876305,0.00876305
25,25239.7,0.64863,0.45833,1.01259,0.98673,0.9907,0.99216,0.90498,0.52362,0.24806,0.91931,0.00865839,0.00865839,0.00865839
26,25972.7,0.64513,0.45527,1.01351,0.98844,0.98864,0.99226,0.90384,0.52333,0.24468,0.92055,0.00855018,0.00855018,0.00855018
27,27035.5,0.63917,0.44812,1.01228,0.98736,0.98863,0.99219,0.90543,0.51579,0.24081,0.9154,0.00843851,0.00843851,0.00843851
28,27773.4,0.63386,0.44061,1.00679,0.98909,0.98845,0.99224,0.90846,0.51103,0.23756,0.91079,0.00832349,0.00832349,0.00832349
29,29218.7,0.63108,0.43821,1.00456,0.9904,0.98965,0.9921,0.90685,0.50982,0.23669,0.90877,0.00820525,0.00820525,0.00820525
30,29955.8,0.62957,0.4312,1.00472,0.98888,0.98941,0.99209,0.90711,0.50876,0.23603,0.90709,0.00808389,0.00808389,0.00808389
31,30702.2,0.6303,0.4307,1.00364,0.98795,0.98935,0.99231,0.90825,0.50661,0.23363,0.90557,0.00795954,0.00795954,0.00795954
32,31429.6,0.621,0.42282,1.0008,0.98933,0.98891,0.99254,0.90931,0.50438,0.23133,0.90386,0.00783231,0.00783231,0.00783231
33,32190.6,0.6202,0.41871,1.00233,0.98913,0.98885,0.99255,0.91003,0.50244,0.22835,0.90202,0.00770234,0.00770234,0.00770234
34,32921.1,0.61399,0.4138,0.99658,0.9868,0.99014,0.9925,0.91128,0.50126,0.22729,0.90036,0.00756976,0.00756976,0.00756976
35,34231.6,0.61124,0.41244,0.99436,0.98712,0.99127,0.99274,0.91263,0.49839,0.22432,0.89865,0.00743468,0.00743468,0.00743468
36,34964.8,0.61445,0.41243,0.99352,0.98798,0.99149,0.99273,0.91287,0.49766,0.22386,0.89813,0.00729725,0.00729725,0.00729725
37,36186.6,0.60929,0.40978,0.99597,0.98711,0.9912,0.9926,0.91218,0.49697,0.22289,0.8981,0.00715761,0.00715761,0.00715761
38,36919.5,0.60126,0.40206,0.98975,0.98734,0.99054,0.99253,0.91226,0.49626,0.22226,0.89767,0.00701588,0.00701588,0.00701588
39,38227.9,0.60243,0.39942,0.98894,0.98745,0.99136,0.99256,0.91292,0.49539,0.22077,0.89694,0.00687222,0.00687222,0.00687222
40,38964.6,0.59577,0.39292,0.98866,0.98801,0.99097,0.99265,0.9131,0.49444,0.21957,0.89619,0.00672675,0.00672675,0.00672675
41,40086.1,0.59784,0.39275,0.98953,0.9884,0.99154,0.99266,0.91361,0.49323,0.21816,0.89512,0.00657963,0.00657963,0.00657963
42,40820.3,0.59307,0.38872,0.98199,0.98883,0.99197,0.99265,0.91425,0.49219,0.21704,0.89406,0.00643101,0.00643101,0.00643101
43,42292.1,0.58898,0.38596,0.97965,0.98896,0.99151,0.99268,0.91504,0.49118,0.21628,0.89331,0.00628101,0.00628101,0.00628101
44,43028,0.59123,0.3801,0.98095,0.98879,0.99191,0.99269,0.91541,0.49073,0.21595,0.89297,0.00612981,0.00612981,0.00612981
45,44578.8,0.58404,0.37517,0.97758,0.98838,0.99201,0.9927,0.91499,0.49016,0.21529,0.89259,0.00597754,0.00597754,0.00597754
46,48227.6,0.5808,0.37365,0.97823,0.9886,0.99241,0.99271,0.91563,0.48959,0.21498,0.89219,0.00582435,0.00582435,0.00582435
47,49991.8,0.57786,0.37349,0.97747,0.9888,0.99184,0.99269,0.91538,0.48892,0.21459,0.89171,0.0056704,0.0056704,0.0056704
48,50842.9,0.57563,0.36905,0.97577,0.98921,0.9916,0.99273,0.91588,0.48819,0.214,0.89123,0.00551584,0.00551584,0.00551584
49,51729.5,0.57191,0.3622,0.96953,0.98883,0.99142,0.99273,0.91634,0.4877,0.2133,0.89077,0.00536081,0.00536081,0.00536081
50,52731.9,0.56764,0.35714,0.96456,0.98835,0.99128,0.99274,0.91644,0.48708,0.21292,0.89015,0.00520548,0.00520548,0.00520548
51,53723.6,0.56424,0.35754,0.96695,0.98829,0.9913,0.99271,0.91665,0.48655,0.21228,0.88966,0.00505,0.00505,0.00505
52,54985,0.56408,0.35569,0.96674,0.98894,0.99121,0.99273,0.91722,0.48589,0.21204,0.88897,0.00489452,0.00489452,0.00489452
53,57758,0.55835,0.3513,0.96115,0.98886,0.99125,0.99275,0.91719,0.48524,0.21123,0.88838,0.00473919,0.00473919,0.00473919
54,58633.2,0.55595,0.3505,0.96521,0.98849,0.99109,0.99273,0.91778,0.48474,0.21078,0.88785,0.00458416,0.00458416,0.00458416
55,59676.5,0.54967,0.34406,0.95779,0.98841,0.99115,0.99273,0.91804,0.48404,0.21011,0.88722,0.0044296,0.0044296,0.0044296
56,60512.9,0.55071,0.34132,0.96248,0.98851,0.99133,0.99275,0.91797,0.48349,0.20963,0.88668,0.00427565,0.00427565,0.00427565
57,62047.2,0.54776,0.3396,0.9602,0.9888,0.99151,0.99276,0.91814,0.48268,0.20895,0.88607,0.00412246,0.00412246,0.00412246
58,63076.5,0.54175,0.3341,0.95411,0.98865,0.99154,0.99278,0.91865,0.48179,0.20831,0.88532,0.00397019,0.00397019,0.00397019
59,63846.7,0.54162,0.33049,0.95316,0.9887,0.99155,0.99282,0.919,0.48092,0.20758,0.88448,0.00381899,0.00381899,0.00381899
60,64687,0.53553,0.32708,0.95034,0.98895,0.99174,0.99286,0.91916,0.47997,0.20726,0.88372,0.00366899,0.00366899,0.00366899
61,66182.2,0.53258,0.32492,0.9506,0.98883,0.99204,0.99287,0.91975,0.47905,0.2063,0.88301,0.00352037,0.00352037,0.00352037
62,66943.4,0.53504,0.32399,0.94705,0.98845,0.99214,0.99292,0.92044,0.47831,0.20545,0.88231,0.00337325,0.00337325,0.00337325
63,68513.9,0.52955,0.31711,0.94683,0.98819,0.99231,0.99294,0.921,0.47751,0.20501,0.88161,0.00322778,0.00322778,0.00322778
64,69282.5,0.52536,0.32039,0.94952,0.98817,0.99233,0.993,0.92115,0.4766,0.20429,0.88097,0.00308412,0.00308412,0.00308412
65,70724.9,0.51997,0.31057,0.94587,0.9882,0.99246,0.99302,0.92144,0.47588,0.20395,0.88046,0.00294239,0.00294239,0.00294239
66,71486.6,0.51887,0.30959,0.9474,0.98838,0.99249,0.99305,0.92192,0.47511,0.20356,0.87994,0.00280275,0.00280275,0.00280275
67,72602.7,0.51731,0.30557,0.94403,0.98832,0.99261,0.99308,0.92238,0.47442,0.20334,0.87941,0.00266532,0.00266532,0.00266532
68,73408.2,0.51109,0.30303,0.94106,0.98815,0.99263,0.9931,0.92277,0.47358,0.20239,0.87881,0.00253024,0.00253024,0.00253024
69,74318.1,0.50662,0.29939,0.93615,0.98869,0.9926,0.99313,0.92317,0.47283,0.20182,0.87806,0.00239766,0.00239766,0.00239766
70,75078.8,0.50788,0.29977,0.93526,0.98883,0.99253,0.99318,0.92358,0.47199,0.20125,0.87736,0.00226769,0.00226769,0.00226769
