epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.572,0.87913,1.84343,1.12479,0.92211,0.90246,0.95193,0.80546,0.68639,0.51997,0.93668,0.070019,0.00333123,0.00333123
2,429.976,0.83804,0.8661,1.09026,0.92824,0.92902,0.96391,0.78878,0.74242,0.54602,0.99109,0.039997,0.00664257,0.00664257
3,637.385,0.91259,0.95393,1.13932,0.82951,0.8436,0.90981,0.70097,0.82679,0.75073,1.03428,0.00995298,0.00993191,0.00993191
4,844.24,0.93829,0.96163,1.1586,0.94803,0.95367,0.97712,0.81156,0.71812,0.51964,0.98753,0.009901,0.009901,0.009901
5,1053.06,0.87052,0.81759,1.11863,0.93391,0.92139,0.97127,0.8114,0.71015,0.49989,0.97167,0.009868,0.009868,0.009868
6,1259.45,0.81846,0.72859,1.0872,0.97798,0.97755,0.9881,0.84604,0.6423,0.42759,0.93799,0.009835,0.009835,0.009835
7,1468.57,0.78212,0.66956,1.07483,0.98868,0.97837,0.98957,0.86984,0.59123,0.36374,0.91477,0.009802,0.009802,0.009802
8,1674.42,0.76034,0.63511,1.06009,0.97624,0.98107,0.98969,0.87069,0.59545,0.36563,0.91374,0.009769,0.009769,0.009769
9,1881.01,0.73728,0.60437,1.04969,0.98889,0.98666,0.99154,0.88346,0.56223,0.33011,0.89467,0.009736,0.009736,0.009736
10,2086.59,0.72853,0.5802,1.04689,0.98983,0.98808,0.9913,0.88525,0.54726,0.32735,0.89138,0.009703,0.009703,0.009703
11,2293.45,0.71379,0.56027,1.03925,0.99036,0.98417,0.99171,0.88879,0.5403,0.32049,0.88453,0.00967,0.00967,0.00967
12,2502.38,0.7044,0.54831,1.03223,0.99148,0.99036,0.99191,0.89668,0.52635,0.30109,0.88195,0.009637,0.009637,0.009637
13,2708.24,0.69716,0.53317,1.0343,0.99495,0.99112,0.99209,0.89794,0.51864,0.29025,0.87902,0.009604,0.009604,0.009604
14,2916.77,0.6789,0.51945,1.01917,0.99409,0.99001,0.99193,0.90118,0.51187,0.28398,0.87448,0.009571,0.009571,0.009571
15,3122.33,0.67744,0.50988,1.02085,0.99235,0.9915,0.99248,0.90401,0.50448,0.27349,0.86846,0.009538,0.009538,0.009538
16,3329.44,0.67309,0.49923,1.01702,0.99494,0.99095,0.99262,0.9107,0.49249,0.26609,0.85928,0.009505,0.009505,0.009505
17,3535.08,0.66696,0.4932,1.01543,0.99313,0.99317,0.99287,0.91151,0.49008,0.25988,0.85971,0.009472,0.009472,0.009472
18,3741.62,0.65922,0.48216,1.01017,0.99313,0.99211,0.9926,0.91187,0.48224,0.25955,0.85951,0.009439,0.009439,0.009439
19,3949.8,0.65608,0.48157,1.01016,0.99551,0.99284,0.99337,0.91494,0.47974,0.24981,0.85314,0.009406,0.009406,0.009406
20,4155.7,0.65012,0.46743,1.00406,0.99443,0.99237,0.9927,0.91469,0.47497,0.24715,0.85296,0.009373,0.009373,0.009373
21,4363.08,0.64362,0.46186,1.00225,0.99526,0.99159,0.99286,0.91689,0.47031,0.24271,0.85203,0.00934,0.00934,0.00934
22,4568.4,0.64081,0.45597,0.99866,0.99563,0.99251,0.99307,0.91976,0.46515,0.23747,0.84883,0.009307,0.009307,0.009307
23,4780.51,0.63567,0.45326,0.99747,0.99589,0.99315,0.9934,0.92319,0.46021,0.23171,0.8476,0.009274,0.009274,0.009274
24,4989.09,0.63345,0.45112,0.9969,0.99618,0.99333,0.99359,0.92269,0.45535,0.22843,0.84411,0.009241,0.009241,0.009241
25,5205.71,0.62544,0.44344,0.99163,0.99574,0.99307,0.99331,0.92382,0.4531,0.22633,0.84318,0.009208,0.009208,0.009208
26,5424.8,0.62261,0.44364,0.9892,0.99566,0.99367,0.99369,0.92406,0.45101,0.22488,0.84175,0.009175,0.009175,0.009175
27,5641.25,0.62034,0.43479,0.98896,0.99574,0.99305,0.99352,0.92392,0.45076,0.22174,0.84282,0.009142,0.009142,0.009142
28,5875.99,0.61627,0.43301,0.98764,0.99692,0.99295,0.9934,0.92437,0.45039,0.21863,0.84239,0.009109,0.009109,0.009109
29,6098.11,0.61785,0.42862,0.98998,0.99534,0.99332,0.99347,0.92542,0.44692,0.21624,0.84076,0.009076,0.009076,0.009076
