epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.201,3.05414,6.16497,3.98554,0.35703,0.29262,0.18291,0.09533,2.08629,3.63617,2.82928,0.070019,0.00333123,0.00333123
2,899.348,1.65479,3.04786,2.26287,0.57199,0.54873,0.59176,0.391,1.32295,1.90585,1.88579,0.039953,0.00659858,0.00659858
3,1336.72,1.26229,2.1333,1.75342,0.67833,0.68472,0.72506,0.54092,0.94068,1.31701,1.46145,0.00982101,0.00979993,0.00979993
4,1766.84,1.10241,1.62055,1.55255,0.90506,0.835,0.9229,0.72102,0.83239,0.81539,1.31746,0.009703,0.009703,0.009703
5,2200.91,0.98527,1.27798,1.42962,0.87595,0.88226,0.94144,0.7722,0.74808,0.75148,1.22536,0.009604,0.009604,0.009604
6,2637.07,0.91905,1.10242,1.36686,0.92703,0.93921,0.95972,0.80701,0.6693,0.61116,1.15355,0.009505,0.009505,0.009505
7,3073.8,0.87749,0.98865,1.32856,0.94058,0.92937,0.97263,0.82663,0.64848,0.55537,1.13683,0.009406,0.009406,0.009406
8,3507.87,0.8445,0.91305,1.29531,0.96764,0.97152,0.98075,0.83791,0.63257,0.47469,1.11001,0.009307,0.009307,0.009307
9,3943.78,0.81811,0.8473,1.27324,0.96877,0.9796,0.98727,0.8569,0.60932,0.42481,1.07806,0.009208,0.009208,0.009208
10,4377.89,0.79365,0.80186,1.25509,0.97991,0.98155,0.98937,0.86956,0.57842,0.40156,1.05983,0.009109,0.009109,0.009109
11,4814.03,0.78081,0.77211,1.24308,0.98659,0.97775,0.98983,0.87326,0.57231,0.38825,1.05266,0.00901,0.00901,0.00901
12,5249.86,0.76462,0.73761,1.23182,0.98241,0.98643,0.99008,0.87811,0.55991,0.37815,1.03733,0.008911,0.008911,0.008911
13,5682.45,0.75228,0.71563,1.22127,0.97683,0.98422,0.9892,0.88478,0.54116,0.36178,1.02537,0.008812,0.008812,0.008812
14,6116.86,0.74108,0.68368,1.21302,0.98643,0.98714,0.98986,0.89026,0.53117,0.34546,1.01757,0.008713,0.008713,0.008713
15,6550.11,0.72534,0.66292,1.19999,0.98534,0.99032,0.99031,0.89217,0.52414,0.33434,1.01283,0.008614,0.008614,0.008614
16,6985.03,0.72258,0.65006,1.19529,0.99073,0.9914,0.99107,0.89689,0.51998,0.32208,1.00779,0.008515,0.008515,0.008515
17,7419.41,0.71204,0.63431,1.18681,0.98732,0.99124,0.99144,0.89886,0.51263,0.31575,1.00345,0.008416,0.008416,0.008416
18,7852.06,0.70155,0.61165,1.18082,0.98818,0.98965,0.99113,0.90168,0.50161,0.31458,0.99386,0.008317,0.008317,0.008317
19,8286.48,0.6983,0.60605,1.17615,0.99088,0.99137,0.99111,0.90556,0.49621,0.30774,0.99005,0.008218,0.008218,0.008218
20,8718.8,0.69251,0.59292,1.16946,0.98916,0.99191,0.99102,0.90793,0.49021,0.29761,0.98307,0.008119,0.008119,0.008119
21,9154.27,0.68923,0.58152,1.164,0.98888,0.99283,0.99217,0.9073,0.48663,0.29645,0.97886,0.00802,0.00802,0.00802
22,9589.14,0.67756,0.56434,1.1564,0.99023,0.99326,0.99196,0.91043,0.48157,0.28527,0.97372,0.007921,0.007921,0.007921
23,10021.9,0.67222,0.55324,1.15304,0.9901,0.99318,0.9915,0.9118,0.47731,0.2797,0.96987,0.007822,0.007822,0.007822
24,10455.5,0.66262,0.5466,1.14372,0.98816,0.99247,0.99111,0.91328,0.47303,0.28462,0.96569,0.007723,0.007723,0.007723
25,10888.9,0.6581,0.53779,1.14146,0.99031,0.99236,0.9926,0.91623,0.46829,0.27165,0.96351,0.007624,0.007624,0.007624
26,11325.1,0.65559,0.52675,1.14095,0.99126,0.99293,0.99266,0.91626,0.46601,0.27139,0.96207,0.007525,0.007525,0.007525
27,11759.7,0.65401,0.52728,1.13659,0.99269,0.99345,0.99241,0.91685,0.46271,0.268,0.95717,0.007426,0.007426,0.007426
28,12191.4,0.64206,0.50868,1.13049,0.99275,0.99328,0.99246,0.91841,0.46171,0.26515,0.95704,0.007327,0.007327,0.007327
29,12624.4,0.64206,0.50953,1.12699,0.9937,0.99374,0.9927,0.91883,0.45955,0.26173,0.95599,0.007228,0.007228,0.007228
30,13058.7,0.63911,0.5052,1.12538,0.99341,0.9937,0.99265,0.9198,0.45761,0.26368,0.95524,0.007129,0.007129,0.007129
31,13493.7,0.6313,0.49092,1.12181,0.99272,0.99337,0.99247,0.92093,0.45516,0.25999,0.95375,0.00703,0.00703,0.00703
32,13928.9,0.63043,0.48712,1.12187,0.9924,0.99357,0.99251,0.92255,0.45314,0.25922,0.95183,0.006931,0.006931,0.006931
33,14361.2,0.6259,0.47838,1.1159,0.99215,0.99359,0.99261,0.92267,0.45167,0.25847,0.95012,0.006832,0.006832,0.006832
34,14793.5,0.62358,0.47791,1.11405,0.99194,0.99379,0.99264,0.92329,0.45051,0.25557,0.94877,0.006733,0.006733,0.006733
35,15228.5,0.61735,0.46839,1.10887,0.99239,0.99404,0.99278,0.92361,0.44923,0.25461,0.94737,0.006634,0.006634,0.006634
36,15664,0.61179,0.46131,1.1048,0.99248,0.99422,0.99251,0.92356,0.44813,0.25289,0.94632,0.006535,0.006535,0.006535
37,16097.6,0.61208,0.45815,1.1023,0.99292,0.99451,0.99254,0.92395,0.4469,0.25128,0.94512,0.006436,0.006436,0.006436
