epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.258,1.13277,3.77406,1.31581,0.38912,0.25365,0.28311,0.15643,1.70564,3.07032,1.9702,0.070019,0.00333123,0.00333123
2,506.563,1.0602,1.71509,1.24333,0.66742,0.6768,0.75739,0.52719,1.11115,1.29754,1.37795,0.0400173,0.00666293,0.00666293
3,752.003,1.08747,1.43059,1.24983,0.80052,0.63061,0.7365,0.48342,1.20245,1.40743,1.4793,0.0100092,0.00998813,0.00998813
4,996.299,1.076,1.2826,1.23798,0.60608,0.50189,0.56127,0.36741,1.46497,2.19186,1.71708,0.00997803,0.00997803,0.00997803
5,1240.5,0.99026,1.06757,1.18845,0.89008,0.87905,0.93794,0.72141,0.86811,0.70989,1.17932,0.00996097,0.00996097,0.00996097
6,1484.79,0.93546,0.94392,1.14987,0.88492,0.8685,0.92828,0.70116,0.88935,0.74169,1.18869,0.00993906,0.00993906,0.00993906
7,1731.23,0.89695,0.86527,1.12869,0.87382,0.86143,0.91535,0.71582,0.83816,0.98008,1.14528,0.00991232,0.00991232,0.00991232
8,1977.36,0.8745,0.81775,1.11777,0.95503,0.94575,0.97962,0.80028,0.75483,0.51911,1.07033,0.00988079,0.00988079,0.00988079
9,2221.56,0.84515,0.77057,1.10209,0.96367,0.95664,0.9837,0.81203,0.7223,0.48219,1.05334,0.00984449,0.00984449,0.00984449
10,2466.37,0.83382,0.73311,1.09123,0.9636,0.96712,0.98472,0.82636,0.68637,0.43971,1.0271,0.00980345,0.00980345,0.00980345
11,2710.22,0.81466,0.71228,1.08279,0.96977,0.97491,0.98715,0.8302,0.67587,0.42422,1.01804,0.00975773,0.00975773,0.00975773
12,2953.76,0.8036,0.6888,1.077,0.97282,0.97523,0.9881,0.84114,0.66285,0.40134,1.00308,0.00970736,0.00970736,0.00970736
13,3197.3,0.79038,0.67336,1.06884,0.97218,0.9769,0.98767,0.83854,0.65805,0.40063,0.99975,0.00965239,0.00965239,0.00965239
14,3441.14,0.78583,0.65541,1.06577,0.97079,0.97797,0.98825,0.85261,0.63748,0.37625,0.98409,0.00959289,0.00959289,0.00959289
15,3684.64,0.77603,0.63795,1.05926,0.98183,0.97631,0.98912,0.85821,0.62884,0.36861,0.98075,0.00952889,0.00952889,0.00952889
16,3927.85,0.76795,0.62474,1.05652,0.97721,0.97717,0.98889,0.85566,0.62492,0.35933,0.97413,0.00946048,0.00946048,0.00946048
17,4170.86,0.76263,0.61666,1.0549,0.97484,0.97399,0.98842,0.86147,0.61311,0.34587,0.96779,0.00938772,0.00938772,0.00938772
18,4414.07,0.75739,0.60279,1.04914,0.9783,0.97727,0.98944,0.87028,0.60521,0.33969,0.95909,0.00931067,0.00931067,0.00931067
19,4657.57,0.74943,0.59601,1.0449,0.98502,0.97518,0.98974,0.87035,0.59792,0.33602,0.95402,0.00922942,0.00922942,0.00922942
20,4900.71,0.7467,0.59006,1.04242,0.97977,0.979,0.99,0.87254,0.58967,0.32003,0.94609,0.00914405,0.00914405,0.00914405
21,5144.52,0.738,0.57782,1.03821,0.98386,0.98344,0.99114,0.87497,0.58724,0.32072,0.94263,0.00905463,0.00905463,0.00905463
22,5387.86,0.73411,0.57214,1.038,0.98485,0.98051,0.99049,0.8777,0.58385,0.31656,0.94357,0.00896127,0.00896127,0.00896127
23,5631.25,0.73095,0.56594,1.03611,0.98733,0.9786,0.99102,0.88161,0.57353,0.30798,0.93388,0.00886404,0.00886404,0.00886404
24,5879.2,0.72511,0.56328,1.03303,0.9876,0.9792,0.99096,0.8807,0.57271,0.30634,0.93342,0.00876305,0.00876305,0.00876305
25,6123.05,0.72197,0.55455,1.03018,0.98885,0.989,0.99188,0.88518,0.56573,0.30104,0.92817,0.00865839,0.00865839,0.00865839
26,6365.41,0.71898,0.5527,1.02887,0.98593,0.98791,0.99158,0.8843,0.56373,0.29806,0.92702,0.00855018,0.00855018,0.00855018
27,6608.15,0.71586,0.54833,1.02775,0.98562,0.98893,0.99165,0.88753,0.55846,0.29197,0.92363,0.00843851,0.00843851,0.00843851
28,6851.76,0.71112,0.53827,1.02345,0.98534,0.98718,0.99141,0.88942,0.55492,0.29102,0.92188,0.00832349,0.00832349,0.00832349
29,7102.71,0.70828,0.5347,1.02405,0.98139,0.98728,0.99133,0.88842,0.55482,0.28937,0.9206,0.00820525,0.00820525,0.00820525
